# lmin lcenter lmax value +sigma -sigma
33  45	57  117.12293388429771 	1154.2125803489434 	-931.4049586776864
58  70	82  -311.4723595955402	414.5296548371416 	-1047.6497933884302
83  95	107 32.23870373697446	876.2052341597787	-755.6818181818189
108 120	132 -531.3204357625855	317.54375303840516	-1313.5634419056878
133 145	157 -0.7176593873527963	850.8953168044068	-792.8432047750239
158 170 182 -3.222621051300848	951.7332415059682	-949.5236455463728
183 195 207 -187.474664791107	790.562712688381	-1166.5957705396213
208 220	232 1097.1246556473816	2170.626721763085	17.548209366391347
233 245	257 150.83742631694986	1289.5296548371407	-1115.1251823043276
258 270	282 -1235.0910969196093	192.7792416922848	-2623.794765840221
283 295	307 93.94832953282184	1768.6811294765835	-1672.6641414141413
